,Black,Black_Forced_Labour,Black_Police,Black_Prison,White,White_Forced_Labour,White_Police,White_Prison,Total_Residents,Total_w_Police,name
original,771744.5129401855,182508.0,3644.8,14852.3510394,3800189.99869892,679500.0,10137.8984,16647.6489606,5433942.511639105,5447725.210039105,I10_PI0.35_L14___pc10_pgrp17
no_police,771744.5129401855,182508.0,3644.8,14852.3510394,3800189.99869892,679500.0,10137.8984,16647.6489606,5433942.511639105,5447725.210039105,I10_PI0.35_L14___pc10_pgrp17
no_prison,771744.5129401855,182508.0,3644.8,14852.3510394,3800189.99869892,679500.0,10137.8984,16647.6489606,5433942.511639105,5447725.210039105,I10_PI0.35_L14___pc10_pgrp17
no_prison_or_police,771744.5129401855,182508.0,3644.8,14852.3510394,3800189.99869892,679500.0,10137.8984,16647.6489606,5433942.511639105,5447725.210039105,I10_PI0.35_L14___pc10_pgrp17
eq_police,771744.5129401855,182508.0,3644.8,14852.3510394,3800189.99869892,679500.0,10137.8984,16647.6489606,5433942.511639105,5447725.210039105,I10_PI0.35_L14___pc10_pgrp17
eq_prison,771744.5129401855,182508.0,3644.8,14852.3510394,3800189.99869892,679500.0,10137.8984,16647.6489606,5433942.511639105,5447725.210039105,I10_PI0.35_L14___pc10_pgrp17
eq_police_prison,771744.5129401855,182508.0,3644.8,14852.3510394,3800189.99869892,679500.0,10137.8984,16647.6489606,5433942.511639105,5447725.210039105,I10_PI0.35_L14___pc10_pgrp17
eq_forced_labour,771744.5129401855,182508.0,3644.8,14852.3510394,3800189.99869892,679500.0,10137.8984,16647.6489606,5433942.511639105,5447725.210039105,I10_PI0.35_L14___pc10_pgrp17
no_forced_labour,954252.5129401855,0.0,3644.8,14852.3510394,4479689.99869892,0.0,10137.8984,16647.6489606,5433942.511639105,5447725.210039105,I10_PI0.35_L14___pc10_pgrp17
no_police_prison_fl,954252.5129401855,0.0,3644.8,14852.3510394,4479689.99869892,0.0,10137.8984,16647.6489606,5433942.511639105,5447725.210039105,I10_PI0.35_L14___pc10_pgrp17
eq_police_prison_fl,771744.5129401855,182508.0,3644.8,14852.3510394,3800189.99869892,679500.0,10137.8984,16647.6489606,5433942.511639105,5447725.210039105,I10_PI0.35_L14___pc10_pgrp17
